object_number,ra,dec
1010,22.7448,13.8045
1013,31.079,-8.7353
1015,37.5452,-0.6483
1060,123.687,58.2799
1064,124.02,23.134
1075,126.65,22.9509
1076,126.775,21.6453
1079,128.085,41.3589
1090,132.143,12.8204
1133,140.907,40.075
1144,143.154,41.7719
1170,152.94,55.3992
1175,154.559,58.9977
1176,155.101,21.3563
1181,155.584,24.4107
1183,155.886,46.0578
1195,158.351,50.6963
1200,159.378,27.3364
1211,161.367,14.2733
1214,161.739,39.5616
1230,165.509,37.9452
1235,166.367,2.5621
1238,166.833,2.8877
1240,167.908,12.122
1241,168.052,27.4778
1245,168.773,23.7945
1248,169.453,25.5728
1252,170.355,46.2892
1255,170.956,2.7014
1256,170.98,3.0987
1257,171.47,18.599
1261,173.18,-1.433
1266,174.723,52.7136
1287,178.316,47.3355
1292,179.473,41.9372
1315,184.494,41.2929
1327,186.748,22.6396
1329,186.782,-1.35419
1332,187.268,43.9796
1339,190.971,26.8633
1344,193.262,32.107
1350,195.19,14.6638
1368,198.895,29.6761
1369,199.116,31.0315
1372,199.897,31.6578
1382,204.352,9.0235
1383,204.667,61.7492
1386,205.151,30.318
1392,207.067,25.7335
1396,209.555,17.5311
1397,210.356,-0.6239
1401,213.333,8.8506
1413,219.008,2.85161
1422,222.234,22.142
1424,222.407,18.6999
1428,222.977,5.32619
1429,223.04,55.8994
1450,228.323,5.75421
1455,230.237,54.6749
1471,234.08,49.5745
1474,236.061,22.2092
1475,237.011,25.4393
1476,237.446,12.3993
1481,240.882,49.3381
1483,241.096,18.3265
1488,242.373,30.5346
1497,245.167,18.8472
1514,257.582,56.7573
1520,261.841,59.6438
